"type designator","manufacturer","model","description","engine count","engine type","wtc"
"A342","AIRBUS","A-340-200","Landplane","4","Jet","H"
"A30B","AIRBUS","A-300C4-200","Landplane","2","Jet","H"
"A306","AIRBUS","A-300C4-600","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300F4-200","Landplane","2","Jet","H"
"A306","AIRBUS","A-300F4-600","Landplane","2","Jet","H"
"A3ST","AIRBUS","A-300ST Beluga","Landplane","2","Jet","H"
"A3ST","AIRBUS","A-300ST Super Transporter","Landplane","2","Jet","H"
"A310","AIRBUS","A-310","Landplane","2","Jet","H"
"A306","AIRBUS","A-300B4-600","Landplane","2","Jet","H"
"A333","AIRBUS","A-330-300","Landplane","2","Jet","H"
"A310","AIRBUS","CC-150 Polaris","Landplane","2","Jet","H"
"A343","AIRBUS","A-340-300","Landplane","4","Jet","H"
"A345","AIRBUS","A-340-500","Landplane","4","Jet","H"
"A346","AIRBUS","A-340-600","Landplane","4","Jet","H"
"A388","AIRBUS","A-380-800","Landplane","4","Jet","H"
"A3ST","AIRBUS","Beluga","Landplane","2","Jet","H"
"A310","AIRBUS","Polaris","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B2","Landplane","2","Jet","H"
"A388","AIRBUS","Prestige (A-380-800)","Landplane","4","Jet","H"
"A332","AIRBUS","A-330-200","Landplane","2","Jet","H"
"A388","AIRBUS","A-380-800 Prestige","Landplane","4","Jet","H"
"A30B","AIRBUS","A-300B4-200","Landplane","2","Jet","H"
"A345","AIRBUS","Prestige (A-340-500)","Landplane","4","Jet","H"
"A343","AIRBUS","Prestige (A-340-300)","Landplane","4","Jet","H"
"A346","AIRBUS","Prestige (A-340-600)","Landplane","4","Jet","H"
"A3ST","AIRBUS","Super Transporter","Landplane","2","Jet","H"
"A332","AIRBUS","Prestige (A-330-200)","Landplane","2","Jet","H"
"A346","AIRBUS","A-340-600 Prestige","Landplane","4","Jet","H"
"A345","AIRBUS","A-340-500 Prestige","Landplane","4","Jet","H"
"A343","AIRBUS","A-340-300 Prestige","Landplane","4","Jet","H"
"A30B","AIRBUS","A-300B4-2","Landplane","2","Jet","H"
"A332","AIRBUS","A-330-200 Prestige","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B2-1","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B4-100","Landplane","2","Jet","H"
"A400","AIRBUS","A-400M","Landplane","4","Turboprop","H"
"A30B","AIRBUS","A-300B2-100","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B2-200","Landplane","2","Jet","H"
"A30B","AIRBUS","A-300B2K-3","Landplane","2","Jet","H"
"A342","AIRBUS","A-340-200 Prestige","Landplane","4","Jet","H"
"A342","AIRBUS","Prestige (A-340-200)","Landplane","4","Jet","H"
"A124","ANTONOV","Ruslan","Landplane","4","Jet","H"
"A225","ANTONOV","Mriya","Landplane","6","Jet","H"
"AN22","ANTONOV","Antheus","Landplane","4","Turboprop","H"
"A225","ANTONOV","An-225 Mriya","Landplane","6","Jet","H"
"AN22","ANTONOV","An-22 Antheus","Landplane","4","Turboprop","H"
"A124","ANTONOV","An-124 Ruslan","Landplane","4","Jet","H"
"VC10","BAC","VC-10","Landplane","4","Jet","H"
"A50","BERIEV","A-50","Landplane","4","Jet","H"
"A50","BERIEV","Be-976","Landplane","4","Jet","H"
"E3CF","BOEING","E-3D Sentry","Landplane","4","Jet","H"
"C135","BOEING","C-135E Stratolifter","Landplane","4","Jet","H"
"K35R","BOEING","C-135FR Stratotanker","Landplane","4","Jet","H"
"C135","BOEING","C-135K Stratolifter","Landplane","4","Jet","H"
"B703","BOEING","C-137","Landplane","4","Jet","H"
"BLCF","BOEING","Dreamlifter","Landplane","4","Jet","H"
"B783","BOEING","Dreamliner (Srs.3)","Landplane","2","Jet","H"
"B788","BOEING","Dreamliner (Srs.8)","Landplane","2","Jet","H"
"B789","BOEING","Dreamliner (Srs.9)","Landplane","2","Jet","H"
"E3CF","BOEING","E-3A (CFM56) Sentry","Landplane","4","Jet","H"
"E3TF","BOEING","E-3A (TF33) Sentry","Landplane","4","Jet","H"
"E3TF","BOEING","JE-3 Sentry","Landplane","4","Jet","H"
"E3TF","BOEING","E-3C Sentry","Landplane","4","Jet","H"
"E3CF","BOEING","E-3F Sentry","Landplane","4","Jet","H"
"B742","BOEING","E-4","Landplane","4","Jet","H"
"E6","BOEING","E-6 Mercury","Landplane","4","Jet","H"
"B703","BOEING","E-8 J-Stars","Landplane","4","Jet","H"
"E767","BOEING","E-767","Landplane","2","Jet","H"
"B741","BOEING","747-100","Landplane","4","Jet","H"
"B703","BOEING","EC-18","Landplane","4","Jet","H"
"C135","BOEING","C-135C Stratolifter","Landplane","4","Jet","H"
"C135","BOEING","EC-135","Landplane","4","Jet","H"
"B703","BOEING","EC-137","Landplane","4","Jet","H"
"C17","BOEING","Globemaster 3","Landplane","4","Jet","H"
"E3TF","BOEING","E-3B Sentry","Landplane","4","Jet","H"
"B772","BOEING","777-200","Landplane","2","Jet","H"
"B703","BOEING","707-300","Landplane","4","Jet","H"
"MD11","BOEING","MD-11","Landplane","3","Jet","H"
"B742","BOEING","747-200","Landplane","4","Jet","H"
"B703","BOEING","J-Stars","Landplane","4","Jet","H"
"B74D","BOEING","747-400 (domestic, no winglets)","Landplane","4","Jet","H"
"B744","BOEING","747-400 (international, winglets)","Landplane","4","Jet","H"
"BLCF","BOEING","747-400LCF Dreamlifter","Landplane","4","Jet","H"
"BSCA","BOEING","747SCA Shuttle Carrier","Landplane","4","Jet","H"
"B74S","BOEING","747SP","Landplane","4","Jet","H"
"B74R","BOEING","747SR","Landplane","4","Jet","H"
"B762","BOEING","767-200","Landplane","2","Jet","H"
"B743","BOEING","747-300","Landplane","4","Jet","H"
"B764","BOEING","767-400","Landplane","2","Jet","H"
"C135","BOEING","C-135B Stratolifter","Landplane","4","Jet","H"
"B772","BOEING","777-200ER","Landplane","2","Jet","H"
"B77L","BOEING","777-200LR","Landplane","2","Jet","H"
"B773","BOEING","777-300","Landplane","2","Jet","H"
"B77W","Boeing","777-300ER","Landplane","2","Jet","H"
"B783","BOEING","787-3 Dreamliner","Landplane","2","Jet","H"
"B788","BOEING","787-8 Dreamliner","Landplane","2","Jet","H"
"B789","BOEING","787-9 Dreamliner","Landplane","2","Jet","H"
"B77L","BOEING","777-F","Landplane","2","Jet","H"
"B52","BOEING","B-52 Stratofortress","Landplane","8","Jet","H"
"C17","BOEING","C-17 Globemaster 3","Landplane","4","Jet","H"
"B703","BOEING","C-18","Landplane","4","Jet","H"
"B763","BOEING","767-300","Landplane","2","Jet","H"
"E3TF","BOEING","Sentry (TF33)","Landplane","4","Jet","H"
"K35E","BOEING","KC-135D Stratotanker","Landplane","4","Jet","H"
"B748","BOEING","747-8","Landplane","4","Jet","H"
"KE3","BOEING","KE-3","Landplane","4","Jet","H"
"B744","BOEING","YAL-1","Landplane","4","Jet","H"
"C17","BOEING","CC-177 Globemaster III","Landplane","4","Jet","H"
"C135","BOEING","WC-135","Landplane","4","Jet","H"
"B742","BOEING","VC-25","Landplane","4","Jet","H"
"C135","BOEING","TC-135","Landplane","4","Jet","H"
"K35E","BOEING","Stratotanker (TF33 engines)","Landplane","4","Jet","H"
"K35R","BOEING","Stratotanker (CFM56 engines)","Landplane","4","Jet","H"
"C135","BOEING","Stratolifter","Landplane","4","Jet","H"
"BSCA","BOEING","Shuttle Carrier","Landplane","4","Jet","H"
"E3CF","BOEING","Sentry (CFM56)","Landplane","4","Jet","H"
"R135","BOEING","RC-135","Landplane","4","Jet","H"
"C135","BOEING","OC-135","Landplane","4","Jet","H"
"C135","BOEING","NKC-135","Landplane","4","Jet","H"
"E6","BOEING","Mercury","Landplane","4","Jet","H"
"DC10","BOEING","MD-10","Landplane","3","Jet","H"
"B762","BOEING","KC-767","Landplane","2","Jet","H"
"B703","BOEING","KC-137","Landplane","4","Jet","H"
"K35R","BOEING","KC-135T Stratotanker","Landplane","4","Jet","H"
"K35R","BOEING","KC-135R Stratotanker","Landplane","4","Jet","H"
"K35E","BOEING","KC-135E Stratotanker","Landplane","4","Jet","H"
"B52","BOEING","Stratofortress","Landplane","8","Jet","H"
"DC85","DOUGLAS","DC-8-50","Landplane","4","Jet","H"
"DC85","DOUGLAS","Jet Trader","Landplane","4","Jet","H"
"DC85","DOUGLAS","DC-8-50 Jet Trader","Landplane","4","Jet","H"
"DC87","DOUGLAS","DC-8-70","Landplane","4","Jet","H"
"DC86","DOUGLAS","DC-8-60","Landplane","4","Jet","H"
"B703","GRUMMAN","E-8 J-Stars","Landplane","4","Jet","H"
"B703","GRUMMAN","J-Stars","Landplane","4","Jet","H"
"B703","IAI","707 Phalcon","Landplane","4","Jet","H"
"B703","IAI","Phalcon","Landplane","4","Jet","H"
"IL76","ILYUSHIN","Il-76","Landplane","4","Jet","H"
"IL96","ILYUSHIN","Il-96","Landplane","4","Jet","H"
"IL86","ILYUSHIN","Il-87","Landplane","4","Jet","H"
"IL86","ILYUSHIN","Il-86","Landplane","4","Jet","H"
"IL76","ILYUSHIN","Il-82","Landplane","4","Jet","H"
"IL76","ILYUSHIN","Il-76 Gajaraj","Landplane","4","Jet","H"
"IL62","ILYUSHIN","Il-62","Landplane","4","Jet","H"
"IL76","ILYUSHIN","Gajaraj","Landplane","4","Jet","H"
"A50","ILYUSHIN","Be-976","Landplane","4","Jet","H"
"A50","ILYUSHIN","A-50","Landplane","4","Jet","H"
"IL76","ILYUSHIN","Il-78","Landplane","4","Jet","H"
"C141","LOCKHEED","Starlifter","Landplane","4","Jet","H"
"C5","LOCKHEED","C-5 Galaxy","Landplane","4","Jet","H"
"L101","LOCKHEED","TriStar","Landplane","3","Jet","H"
"C5","LOCKHEED","L-500 Galaxy","Landplane","4","Jet","H"
"C141","LOCKHEED","L-300 Starlifter","Landplane","4","Jet","H"
"C141","LOCKHEED","C-141 Starlifter","Landplane","4","Jet","H"
"L101","LOCKHEED","L-1011 TriStar","Landplane","3","Jet","H"
"C5","LOCKHEED","Galaxy","Landplane","4","Jet","H"
"C17","MCDONNELL DOUGLAS","Globemaster 3","Landplane","4","Jet","H"
"MD11","MCDONNELL DOUGLAS","MD-11","Landplane","3","Jet","H"
"DC10","MCDONNELL DOUGLAS","MD-10","Landplane","3","Jet","H"
"DC10","MCDONNELL DOUGLAS","KDC-10","Landplane","3","Jet","H"
"DC85","MCDONNELL DOUGLAS","Jet Trader","Landplane","4","Jet","H"
"DC10","MCDONNELL DOUGLAS","Extender","Landplane","3","Jet","H"
"DC10","MCDONNELL DOUGLAS","DC-10","Landplane","3","Jet","H"
"DC87","MCDONNELL DOUGLAS","DC-8-70","Landplane","4","Jet","H"
"DC86","MCDONNELL DOUGLAS","DC-8-60","Landplane","4","Jet","H"
"DC85","MCDONNELL DOUGLAS","DC-8-50 Jet Trader","Landplane","4","Jet","H"
"DC85","MCDONNELL DOUGLAS","DC-8-50","Landplane","4","Jet","H"
"C17","MCDONNELL DOUGLAS","C-17 Globemaster 3","Landplane","4","Jet","H"
"DC10","MCDONNELL DOUGLAS","KC-10 Extender","Landplane","3","Jet","H"
"VMT","MYASISHCHEV","VM-T Atlant","Landplane","4","Jet","H"
"MYA4","MYASISHCHEV","3M","Landplane","4","Jet","H"
"VMT","MYASISHCHEV","Atlant","Landplane","4","Jet","H"
"MYA4","MYASISHCHEV","M-4","Landplane","4","Jet","H"
"B2","NORTHROP","B-2 Spirit","Landplane","4","Jet","H"
"B2","NORTHROP","Spirit","Landplane","4","Jet","H"
"B703","NORTHROP GRUMMAN","E-8 J-Stars","Landplane","4","Jet","H"
"B703","NORTHROP GRUMMAN","J-Stars","Landplane","4","Jet","H"
"B2","NORTHROP GRUMMAN","Spirit","Landplane","4","Jet","H"
"B2","NORTHROP GRUMMAN","B-2 Spirit","Landplane","4","Jet","H"
"B1","ROCKWELL","B-1 Lancer","Landplane","4","Jet","H"
"B1","ROCKWELL","Lancer","Landplane","4","Jet","H"
"A3ST","SATIC","Beluga","Landplane","2","Jet","H"
"A3ST","SATIC","Super Transporter","Landplane","2","Jet","H"
"A3ST","SATIC","A-300ST Super Transporter","Landplane","2","Jet","H"
"A3ST","SATIC","A-300ST Beluga","Landplane","2","Jet","H"
"TU95","TUPOLEV","Tu-95","Landplane","4","Turboprop","H"
"TU95","TUPOLEV","Tu-142","Landplane","4","Turboprop","H"
"T144","TUPOLEV","Tu-144","Landplane","4","Jet","H"
"T160","TUPOLEV","Tu-160","Landplane","4","Jet","H"
"TU95","TUPOLEV","Tu-20","Landplane","4","Turboprop","H"
"VC10","VICKERS","VC-10","Landplane","4","Jet","H"
"J328","328 SUPPORT SERVICES","Dornier 328JET","Landplane","2","Jet","M"
"AJ27","ACAC","ARJ-21-700","Landplane","2","Jet","M"
"LCA","ADA","LCA Tejas","Landplane","1","Jet","M"
"LCA","ADA","Tejas","Landplane","1","Jet","M"
"AMX","AERITALIA","AMX Ghibli","Landplane","1","Jet","M"
"AT43","AERITALIA","ATR-42-200","Landplane","2","Turboprop","M"
"AT43","AERITALIA","ATR-42-300","Landplane","2","Turboprop","M"
"AT43","AERITALIA","ATR-42-320","Landplane","2","Turboprop","M"
"TOR","AERITALIA","Tornado","Landplane","2","Jet","M"
"AMX","AERITALIA","Ghibli","Landplane","1","Jet","M"
"G222","AERITALIA","G-222","Landplane","2","Turboprop","M"
"AT72","AERITALIA","ATR-72","Landplane","2","Turboprop","M"
"AMX","AERMACCHI","Ghibli","Landplane","1","Jet","M"
"Y130","AERMACCHI","M-346 Master","Landplane","2","Jet","M"
"AMX","AERMACCHI","AMX Ghibli","Landplane","1","Jet","M"
"Y130","AERMACCHI","Master","Landplane","2","Jet","M"
"L159","AERO (2)","Albatros 2","Landplane","1","Jet","M"
"L159","AERO (2)","L-159 Albatros 2","Landplane","1","Jet","M"
"L159","AERO (2)","L-159","Landplane","1","Jet","M"
"JCOM","AERO COMMANDER","1121 Jet Commander","Landplane","2","Jet","M"
"JCOM","AERO COMMANDER","Jet Commander","Landplane","2","Jet","M"
"SGUP","AERO SPACELINES","Super Guppy","Landplane","4","Turboprop","M"
"SGUP","AERO SPACELINES","377SGT Super Guppy","Landplane","4","Turboprop","M"
"AT44","AEROSPATIALE","ATR-42-400","Landplane","2","Turboprop","M"
"AT44","AEROSPATIALE","ATR-42-400 Surveyor","Landplane","2","Turboprop","M"
"AT45","AEROSPATIALE","ATR-42-500","Landplane","2","Turboprop","M"
"AT45","AEROSPATIALE","ATR-42-500 Surveyor","Landplane","2","Turboprop","M"
"AT43","AEROSPATIALE","ATR-42-320","Landplane","2","Turboprop","M"
"AS3B","AEROSPATIALE","Cougar Mk2","Helicopter","2","Turboprop","M"
"AT43","AEROSPATIALE","ATR-42-300","Landplane","2","Turboprop","M"
"S210","AEROSPATIALE","Caravelle","Landplane","2","Jet","M"
"AS32","AEROSPATIALE","Cougar","Helicopter","2","Turboprop","M"
"AT43","AEROSPATIALE","ATR-42-200","Landplane","2","Turboprop","M"
"AT72","AEROSPATIALE","ATR-72","Landplane","2","Turboprop","M"
"AS32","AEROSPATIALE","Hkp10 Super Puma","Helicopter","2","Turboprop","M"
"N262","AEROSPATIALE","N-262","Landplane","2","Turboprop","M"
"FREL","AEROSPATIALE","SA-321 Super Frelon","Helicopter","3","Turboprop","M"
"FREL","AEROSPATIALE","Super Frelon","Helicopter","3","Turboprop","M"
"AS32","AEROSPATIALE","AS-532UL Cougar","Helicopter","2","Turboprop","M"
"N262","AEROSPATIALE","Fregate","Landplane","2","Turboprop","M"
"S210","AEROSPATIALE","SE-210 Caravelle","Landplane","2","Jet","M"
"AS32","AEROSPATIALE","Tiger","Helicopter","2","Turboprop","M"
"AT45","AEROSPATIALE","Surveyor (ATR-42-500)","Landplane","2","Turboprop","M"
"AT44","AEROSPATIALE","Surveyor (ATR-42-400)","Landplane","2","Turboprop","M"
"AS3B","AEROSPATIALE","Super Puma Mk2","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","Super Puma","Helicopter","2","Turboprop","M"
"N262","AEROSPATIALE","N-262 Fregate","Landplane","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-332B Super Puma","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-332B1 Super Puma","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-532UC Cougar","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-332C Super Puma","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-332F1 Super Puma","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-332L1 Super Puma","Helicopter","2","Turboprop","M"
"AS3B","AEROSPATIALE","AS-332L2 Super Puma Mk2","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-332L Super Puma","Helicopter","2","Turboprop","M"
"N262","AEROSPATIALE","Mohawk 298","Landplane","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-332M1 Super Puma","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-332M Super Puma","Helicopter","2","Turboprop","M"
"AS3B","AEROSPATIALE","AS-532A2 Cougar Mk2","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-532SC Cougar","Helicopter","2","Turboprop","M"
"AS3B","AEROSPATIALE","AS-532U2 Cougar Mk2","Helicopter","2","Turboprop","M"
"AS32","AEROSPATIALE","AS-332L Tiger","Helicopter","2","Turboprop","M"
"MG21","AEROSTAR (2)","MiG-21 Lancer","Landplane","1","Jet","M"
"MG21","AEROSTAR (2)","Lancer","Landplane","1","Jet","M"
"S61","AGUSTA","SH-3","Helicopter","2","Turboprop","M"
"S61","AGUSTA","AS-61A","Helicopter","2","Turboprop","M"
"S61","AGUSTA","AS-61N","Helicopter","2","Turboprop","M"
"S61R","AGUSTA","AS-61R","Helicopter","2","Turboprop","M"
"A149","AGUSTA","AW-149","Helicopter","2","Turboprop","M"
"S61","AGUSTA","ASH-61","Helicopter","2","Turboprop","M"
"S61R","AGUSTA","HH-3","Helicopter","2","Turboprop","M"
"EH10","AGUSTAWESTLAND","AW-101","Helicopter","3","Turboprop","M"
"EH10","AGUSTAWESTLAND","Merlin Joint Supporter","Helicopter","3","Turboprop","M"
"EH10","AGUSTAWESTLAND","EH-101 Merlin Joint Supporter","Helicopter","3","Turboprop","M"
"EH10","AGUSTAWESTLAND","EH-101","Helicopter","3","Turboprop","M"
"EH10","AGUSTAWESTLAND","US-101","Helicopter","3","Turboprop","M"
"EH10","AGUSTAWESTLAND","Kestrel","Helicopter","3","Turboprop","M"
"EH10","AGUSTAWESTLAND","MCH-101","Helicopter","3","Turboprop","M"
"EH10","AGUSTAWESTLAND","AW-101 Merlin Joint Supporter","Helicopter","3","Turboprop","M"
"EH10","AGUSTAWESTLAND","VH-71 Kestrel","Helicopter","3","Turboprop","M"
"RJ70","AI(R)","RJ-70 Avroliner","Landplane","4","Jet","M"
"RJ85","AI(R)","RJ-85 Avroliner","Landplane","4","Jet","M"
"JS41","AI(R)","Jetstream 41","Landplane","2","Turboprop","M"
"JS41","AI(R)","BAe-4100 Jetstream 41","Landplane","2","Turboprop","M"
"RJ1H","AI(R)","Avroliner (RJ-100)","Landplane","4","Jet","M"
"RJ85","AI(R)","Avroliner (RJ-85)","Landplane","4","Jet","M"
"RJ70","AI(R)","Avroliner (RJ-70)","Landplane","4","Jet","M"
"AT72","AI(R)","ATR-72","Landplane","2","Turboprop","M"
"AT45","AI(R)","ATR-42-500","Landplane","2","Turboprop","M"
"AT44","AI(R)","ATR-42-400","Landplane","2","Turboprop","M"
"AT43","AI(R)","ATR-42-300","Landplane","2","Turboprop","M"
"RJ1H","AI(R)","RJ-100 Avroliner","Landplane","4","Jet","M"
"AT43","AI(R)","ATR-42-320","Landplane","2","Turboprop","M"
"CKUO","AIDC","F-CK-1 Ching-Kuo","Landplane","2","Jet","M"
"AT3","AIDC","Tzu-Chung","Landplane","2","Jet","M"
"F5","AIDC","F-5 Chung-Cheng","Landplane","2","Jet","M"
"F5","AIDC","Chung-Cheng","Landplane","2","Jet","M"
"CKUO","AIDC","Ching-Kuo","Landplane","2","Jet","M"
"AT3","AIDC","AT-3 Tzu-Chung","Landplane","2","Jet","M"
"A748","AIL","748","Landplane","2","Turboprop","M"
"A319","AIRBUS","A-319 ACJ","Landplane","2","Jet","M"
"A319","AIRBUS","ACJ","Landplane","2","Jet","M"
"A320","AIRBUS","A-320","Landplane","2","Jet","M"
"A318","AIRBUS","A-318 Elite","Landplane","2","Jet","M"
"A319","AIRBUS","A-319","Landplane","2","Jet","M"
"A318","AIRBUS","A-318","Landplane","2","Jet","M"
"A320","AIRBUS","A-320 Prestige","Landplane","2","Jet","M"
"A321","AIRBUS","A-321","Landplane","2","Jet","M"
"A319","AIRBUS","VC-1 ACJ","Landplane","2","Jet","M"
"A310","AIRBUS","Elite","Landplane","2","Jet","M"
"A320","AIRBUS","Prestige (A-320)","Landplane","2","Jet","M"
"CN35","AIRTECH (2)","CN-235 Persuader","Landplane","2","Turboprop","M"
"CN35","AIRTECH (2)","CN-235","Landplane","2","Turboprop","M"
"CN35","AIRTECH (2)","Persuader","Landplane","2","Turboprop","M"
"AT44","ALENIA","Surveyor (ATR-42-400)","Landplane","2","Turboprop","M"
"EUFI","ALENIA","Typhoon","Landplane","2","Jet","M"
"AT45","ALENIA","Surveyor (ATR-42-500)","Landplane","2","Turboprop","M"
"C27J","ALENIA","Spartan (C-27J)","Landplane","2","Turboprop","M"
"AT72","ALENIA","ATR-72","Landplane","2","Turboprop","M"
"HAR","ALENIA","Harrier","Landplane","1","Jet","M"
"AMX","ALENIA","Ghibli","Landplane","1","Jet","M"
"G222","ALENIA","G-222","Landplane","2","Turboprop","M"
"EUFI","ALENIA","Eurofighter 2000","Landplane","2","Jet","M"
"C27J","ALENIA","C-27J Spartan","Landplane","2","Turboprop","M"
"G222","ALENIA","C-27A Spartan","Landplane","2","Turboprop","M"
"HAR","ALENIA","AV-8 Harrier","Landplane","1","Jet","M"
"G222","ALENIA","Spartan (C-27A)","Landplane","2","Turboprop","M"
"AMX","ALENIA","AMX Ghibli","Landplane","1","Jet","M"
"AT45","ALENIA","ATR-42-500 Surveyor","Landplane","2","Turboprop","M"
"AT43","ALENIA","ATR-42-300","Landplane","2","Turboprop","M"
"AT43","ALENIA","ATR-42-320","Landplane","2","Turboprop","M"
"AT44","ALENIA","ATR-42-400","Landplane","2","Turboprop","M"
"AT44","ALENIA","ATR-42-400 Surveyor","Landplane","2","Turboprop","M"
"AT45","ALENIA","ATR-42-500","Landplane","2","Turboprop","M"
"AMX","AMX","AMX","Landplane","1","Jet","M"
"AMX","AMX","Ghibli","Landplane","1","Jet","M"
"AMX","AMX","AMX Ghibli","Landplane","1","Jet","M"
"AMX","AMX","A-1","Landplane","1","Jet","M"
"AN32","ANTONOV","An-32 Sutlej","Landplane","2","Turboprop","M"
"A148","ANTONOV","An-148","Landplane","2","Jet","M"
"AN72","ANTONOV","An-72","Landplane","2","Jet","M"
"AN72","ANTONOV","An-74-100","Landplane","2","Jet","M"
"AN70","ANTONOV","An-70","Landplane","4","Turboprop","M"
"AN72","ANTONOV","An-74-200","Landplane","2","Jet","M"
"AN32","ANTONOV","An-32","Landplane","2","Turboprop","M"
"A140","ANTONOV","An-140","Landplane","2","Turboprop","M"
"AN32","ANTONOV","An-32 Firekiller","Landplane","2","Turboprop","M"
"AN32","ANTONOV","Firekiller","Landplane","2","Turboprop","M"
"AN32","ANTONOV","Sutlej","Landplane","2","Turboprop","M"
"A743","ANTONOV","An-74-300","Landplane","2","Jet","M"
"AN26","ANTONOV","An-26","Landplane","2","Turboprop","M"
"AN38","ANTONOV","An-38","Landplane","2","Turboprop","M"
"AN24","ANTONOV","An-24","Landplane","2","Turboprop","M"
"AN12","ANTONOV","An-12","Landplane","4","Turboprop","M"
"AN8","ANTONOV","An-8","Landplane","2","Turboprop","M"
"AN30","ANTONOV","An-30","Landplane","2","Turboprop","M"
"AJET","AOI","Alpha Jet","Landplane","2","Jet","M"
"SHAW","ARMSTRONG WHITWORTH","Sea Hawk","Landplane","1","Jet","M"
"METR","ARMSTRONG WHITWORTH","Meteor","Landplane","2","Jet","M"
"F18","ASTA","ATF-18 Hornet","Landplane","2","Jet","M"
"H60","ASTA","Seahawk","Helicopter","2","Turboprop","M"
"F18","ASTA","Hornet","Landplane","2","Jet","M"
"F18","ASTA","AF-18 Hornet","Landplane","2","Jet","M"
"H60","ASTA","S-70 Seahawk","Helicopter","2","Turboprop","M"
"MIRA","ATLAS","Cheetah","Landplane","1","Jet","M"
"RVAL","ATLAS","CSH-2 Rooivalk","Helicopter","2","Turboprop","M"
"AS32","ATLAS","Oryx","Helicopter","2","Turboprop","M"
"RVAL","ATLAS","Rooivalk","Helicopter","2","Turboprop","M"
"AS32","ATLAS","SA-330 Oryx","Helicopter","2","Turboprop","M"
"AT43","ATR","ATR-42-320","Landplane","2","Turboprop","M"
"AT43","ATR","ATR-42-300","Landplane","2","Turboprop","M"
"AT72","ATR","ATR-72","Landplane","2","Turboprop","M"
"AT44","ATR","ATR-42-400","Landplane","2","Turboprop","M"
"AT44","ATR","ATR-42-400 Surveyor","Landplane","2","Turboprop","M"
"AT45","ATR","ATR-42-500 Surveyor","Landplane","2","Turboprop","M"
"AT44","ATR","Surveyor (ATR-42-400)","Landplane","2","Turboprop","M"
"AT45","ATR","ATR-42-500","Landplane","2","Turboprop","M"
"AT43","ATR","ATR-42-200","Landplane","2","Turboprop","M"
"AT45","ATR","Surveyor (ATR-42-500)","Landplane","2","Turboprop","M"
"NH90","AUSTRALIAN AEROSPACE","MRH-90","Helicopter","2","Turboprop","M"
"J328","AVCRAFT","Dornier 328JET","Landplane","2","Jet","M"
"IL14","AVIA (2)","Av-14","Landplane","2","Piston","M"
"CARV","AVIATION TRADERS","Carvair","Landplane","4","Piston","M"
"CARV","AVIATION TRADERS","ATL-98 Carvair","Landplane","4","Piston","M"
"RJ1H","AVRO","Avroliner (RJ-100)","Landplane","4","Jet","M"
"RJ70","AVRO","Avroliner (RJ-70)","Landplane","4","Jet","M"
"LANC","AVRO","Lancaster","Landplane","4","Piston","M"
"A748","AVRO","748","Landplane","2","Turboprop","M"
"RJ70","AVRO","RJ-70 Avroliner","Landplane","4","Jet","M"
"RJ85","AVRO","RJ-85 Avroliner","Landplane","4","Jet","M"
"RJ1H","AVRO","RJ-100 Avroliner","Landplane","4","Jet","M"
"SHAC","AVRO","Shackleton","Landplane","4","Piston","M"
"A748","AVRO","C-91","Landplane","2","Turboprop","M"
"VULC","AVRO","698 Vulcan","Landplane","4","Jet","M"
"SHAC","AVRO","696 Shackleton","Landplane","4","Piston","M"
"LANC","AVRO","683 Lancaster","Landplane","4","Piston","M"
"VULC","AVRO","Vulcan","Landplane","4","Jet","M"
"RJ85","AVRO","Avroliner (RJ-85)","Landplane","4","Jet","M"
"TOR","BAC","Tornado","Landplane","2","Jet","M"
"BA11","BAC","One-Eleven","Landplane","2","Jet","M"
"LTNG","BAC","Lightning","Landplane","2","Jet","M"
"CNBR","BAC","Canberra","Landplane","2","Jet","M"
"BA11","BAC","111 One-Eleven","Landplane","2","Jet","M"
"RJ85","BAE SYSTEMS","Avro RJ-85","Landplane","4","Jet","M"
"HAWK","BAE SYSTEMS","T-45 Goshawk","Landplane","1","Jet","M"
"NIM","BAE SYSTEMS","Nimrod","Landplane","4","Jet","M"
"HAWK","BAE SYSTEMS","Hawk","Landplane","1","Jet","M"
"EUFI","BAE SYSTEMS","Eurofighter 2000","Landplane","2","Jet","M"
"HAWK","BAE SYSTEMS","Goshawk","Landplane","1","Jet","M"
"EUFI","BAE SYSTEMS","Typhoon","Landplane","2","Jet","M"
