Data,BPS,URL-BPS,Anexos,URL-Anexos
24/09/2021,"BPS V.16, Nº 38, 24/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/bps-no-38-de-24-de-setembro-de-2021.pdf,Anexo I - IS nº 137.201-001 Revisão D,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/anexo-i-is-no-137-201-001-revisao-d
24/09/2021,"BPS V.16, Nº 38, 24/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/bps-no-38-de-24-de-setembro-de-2021.pdf,Anexo II - IS nº E94.503-001 Revisão B,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/anexo-ii-is-no-e94-503-001-revisao-b
24/09/2021,"BPS V.16, Nº 38, 24/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/bps-no-38-de-24-de-setembro-de-2021.pdf,Anexo III - MPR/SFI-022-R01,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/anexo-iii-mpr-sfi-022-r01
24/09/2021,"BPS V.16, Nº 38, 24/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/bps-no-38-de-24-de-setembro-de-2021.pdf,Anexo IV - MPR/SFI-101-R01,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/anexo-iv-mpr-sfi-101-r01
24/09/2021,"BPS V.16, Nº 38, 24/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/bps-no-38-de-24-de-setembro-de-2021.pdf,Anexo V - Anexo I à Portaria 5.919 de 14 de setembro de 2021,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/anexo-v-anexo-i-a-portaria-5-919-de-14-de-setembro-de-2021
24/09/2021,"BPS V.16, Nº 38, 24/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/bps-no-38-de-24-de-setembro-de-2021.pdf,"Anexo VI - Anexo I à Portaria nº 5.976, de 22 de setembro de 2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/38/anexo-vi-anexo-i-a-portaria-no-5-976-de-22-de-setembro-de-2021
17/09/2021,"BPS V.16, Nº 37, 17/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/37/bps-no-37-de-17-de-setembro-de-2021-1.pdf,Anexo I - Homologação do resultado final de avaliação de desempenho em estágio probatório,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/37/anexo-i-homologacao-do-resultado-final-de-avaliacao-de-desempenho-em-estagio-probatorio
17/09/2021,"BPS V.16, Nº 37, 17/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/37/bps-no-37-de-17-de-setembro-de-2021-1.pdf,Anexo II - MPR/SAS-250-R02,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/37/anexo-ii-mpr-sas-250-r02
17/09/2021,"BPS V.16, Nº 37, 17/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/37/bps-no-37-de-17-de-setembro-de-2021-1.pdf,"Anexo III - Anexo à Portaria nº 5.911, de 13 de setembro de 2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/37/anexo-iii-anexo-a-portaria-no-5-911-de-13-de-setembro-de-2021
17/09/2021,"BPS V.16, Nº 37, 17/09/2021",https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/37/bps-no-37-de-17-de-setembro-de-2021-1.pdf,Anexo IV - IS nº 91-008 Revisão B,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/boletim-de-pessoal/2021/37/anexo-iv-is-no-91-008-revisao-b
